Date,Open,High,Low,Close,Volume
2017-04-06,199.800003,199.800003,198.100006,198.669998,25100
2017-04-07,198.460007,200.360001,198.419998,199.210007,51800
2017-04-10,199.460007,205.699997,199.460007,204.339996,35300
2017-04-11,204.589996,204.589996,202.729996,203.910004,23000
2017-04-12,203.770004,204.009995,200.910004,202.509995,19600
2017-04-13,201.770004,204.779999,201.630005,202.179993,23800
2017-04-17,203.289993,207.559998,203.000000,207.449997,19600
2017-04-18,207.399994,209.919998,205.009995,207.389999,27800
2017-04-19,208.509995,209.339996,207.169998,208.229996,18700
2017-04-20,208.820007,210.250000,207.500000,209.820007,37300
2017-04-21,209.300003,209.559998,203.419998,204.899994,34200
2017-04-24,206.020004,210.889999,206.020004,209.100006,31400
2017-04-25,210.679993,214.710007,205.750000,207.289993,77900
2017-04-26,206.110001,210.179993,205.729996,208.350006,34000
2017-04-27,208.619995,211.210007,208.460007,209.919998,37400
2017-04-28,210.110001,213.389999,207.490005,211.860001,30400
2017-05-01,213.360001,214.539993,208.179993,209.649994,38600
2017-05-02,210.610001,213.649994,206.899994,207.000000,60400
2017-05-03,206.699997,210.770004,203.500000,204.190002,51600
2017-05-04,204.699997,205.880005,203.250000,205.149994,41200
2017-05-05,205.380005,206.380005,203.330002,205.740005,31200
2017-05-08,205.740005,206.339996,203.360001,205.000000,37800
2017-05-09,204.729996,205.679993,202.050003,203.149994,45800
2017-05-10,202.009995,209.000000,195.949997,204.570007,91300
2017-05-11,205.089996,206.500000,202.740005,203.669998,51000
2017-05-12,204.539993,204.539993,198.110001,199.929993,39800
2017-05-15,199.850006,202.449997,199.100006,199.300003,53600
2017-05-16,199.990005,202.000000,199.139999,200.110001,64400
2017-05-17,198.220001,201.639999,197.529999,199.820007,68300
2017-05-18,200.169998,203.509995,199.639999,201.559998,70300
2017-05-19,201.889999,205.500000,200.919998,204.419998,45500
2017-05-22,205.470001,216.050003,205.460007,214.419998,66100
2017-05-23,215.809998,217.699997,213.000000,215.110001,42800
2017-05-24,215.850006,227.229996,215.649994,225.250000,104400
2017-05-25,226.550003,229.839996,219.539993,223.059998,71300
2017-05-26,224.399994,228.699997,222.199997,225.669998,46400
2017-05-30,226.020004,228.500000,223.550003,227.410004,67300
2017-05-31,228.199997,228.199997,225.139999,227.740005,84100
2017-06-01,228.479996,231.460007,225.279999,231.210007,57100
2017-06-02,232.779999,235.779999,231.220001,231.750000,47300
2017-06-05,232.940002,232.940002,225.910004,225.910004,53000
2017-06-06,225.990005,229.559998,224.029999,226.410004,44000
2017-06-07,226.660004,230.419998,225.250000,230.110001,30100
2017-06-08,230.220001,231.100006,226.029999,228.850006,30800
2017-06-09,229.110001,232.380005,225.000000,227.059998,28400
2017-06-12,226.520004,229.889999,224.000000,228.639999,26600
2017-06-13,229.570007,231.690002,227.940002,231.690002,39900
2017-06-14,232.000000,236.520004,231.740005,236.220001,25900
2017-06-15,233.979996,240.449997,231.509995,238.869995,37700
2017-06-16,237.160004,237.259995,231.279999,234.160004,59700
2017-06-19,234.699997,237.850006,234.699997,235.889999,21600
2017-06-20,235.669998,235.759995,232.850006,235.380005,31800
2017-06-21,234.949997,236.500000,232.610001,234.789993,19100
2017-06-22,234.830002,235.089996,233.039993,233.050003,19800
2017-06-23,233.130005,235.729996,231.639999,235.660004,32800
2017-06-26,235.789993,237.580002,232.610001,233.820007,39500
2017-06-27,232.729996,232.860001,227.369995,227.369995,31000
2017-06-28,228.070007,234.929993,228.070007,233.110001,26000
2017-06-29,233.520004,234.210007,229.880005,230.750000,18200
2017-06-30,232.009995,234.539993,228.440002,228.869995,19200
2017-07-03,229.080002,229.960007,223.509995,224.259995,12500
2017-07-05,224.259995,225.330002,221.449997,224.880005,29400
2017-07-06,222.779999,226.139999,220.809998,224.539993,25100
2017-07-07,225.550003,229.699997,225.119995,226.960007,23900
2017-07-10,228.970001,229.479996,225.220001,226.559998,49100
2017-07-11,225.960007,229.770004,225.960007,227.490005,43800
2017-07-12,228.679993,232.309998,228.500000,232.309998,32800
2017-07-13,232.210007,232.210007,225.759995,229.839996,28900
2017-07-14,229.479996,236.000000,229.479996,235.550003,34000
2017-07-17,235.000000,239.500000,232.520004,236.820007,51100
2017-07-18,236.649994,238.949997,234.119995,234.149994,41000
2017-07-19,234.149994,238.830002,234.149994,236.399994,37600
2017-07-20,238.029999,242.729996,236.419998,241.800003,36300
2017-07-21,243.220001,244.669998,239.850006,240.860001,29700
2017-07-24,241.860001,241.860001,237.500000,238.330002,33800
2017-07-25,239.479996,239.699997,237.000000,238.089996,15300
2017-07-26,239.389999,242.190002,238.669998,241.869995,22300
2017-07-27,242.529999,249.539993,242.529999,244.039993,36500
2017-07-28,243.610001,245.500000,239.559998,240.539993,21200
2017-07-31,241.570007,244.539993,239.190002,240.089996,23700
2017-08-01,241.919998,242.330002,239.820007,240.080002,21800
2017-08-02,240.050003,240.970001,236.369995,238.500000,21500
2017-08-03,241.600006,241.600006,237.500000,238.399994,17100
2017-08-04,239.919998,240.130005,237.000000,238.800003,13300
2017-08-07,239.100006,242.970001,239.100006,242.520004,15700
2017-08-08,242.179993,244.800003,240.300003,242.449997,28700
2017-08-09,241.940002,241.940002,200.100006,206.839996,147700
2017-08-10,208.009995,212.139999,208.009995,210.970001,61900
2017-08-11,211.080002,212.720001,208.800003,208.809998,31800
2017-08-14,210.789993,211.729996,209.009995,210.539993,35900
2017-08-15,211.490005,212.539993,208.550003,212.199997,28800
2017-08-16,212.199997,213.619995,212.199997,213.360001,27900
2017-08-17,213.339996,215.770004,206.160004,208.220001,36200
2017-08-18,206.220001,208.110001,201.539993,204.669998,29400
2017-08-21,204.869995,207.779999,204.000000,205.179993,25900
2017-08-22,205.639999,211.740005,204.630005,210.070007,28200
2017-08-23,209.300003,210.899994,207.220001,208.729996,26600
2017-08-24,208.729996,209.490005,206.059998,208.190002,34900
2017-08-25,208.979996,210.000000,202.500000,202.639999,29000
2017-08-28,202.149994,206.199997,202.149994,205.960007,22800
2017-08-29,205.639999,209.990005,205.639999,209.580002,34600
2017-08-30,209.830002,212.949997,209.830002,211.669998,32600
2017-08-31,212.330002,217.449997,212.330002,213.589996,40300
2017-09-01,213.809998,217.089996,208.649994,212.949997,27800
2017-09-05,212.990005,212.990005,209.449997,210.750000,22200
2017-09-06,210.580002,213.070007,209.720001,212.500000,23600
2017-09-07,212.910004,212.910004,210.830002,212.470001,23600
2017-09-08,210.270004,212.500000,210.270004,212.289993,15500
2017-09-11,213.940002,216.679993,212.830002,215.059998,29600
2017-09-12,216.460007,216.500000,211.949997,212.889999,19300
2017-09-13,212.619995,214.630005,210.240005,211.179993,21600
2017-09-14,210.990005,210.990005,207.369995,208.990005,32800
2017-09-15,208.050003,209.949997,206.809998,208.889999,74700
2017-09-18,208.410004,211.970001,208.410004,210.889999,41200
2017-09-19,211.179993,214.630005,209.289993,211.389999,33300
2017-09-20,210.770004,212.139999,208.000000,209.580002,31400
2017-09-21,208.949997,209.809998,207.809998,208.770004,27900
2017-09-22,209.050003,210.800003,208.419998,209.300003,29600
2017-09-25,208.570007,211.009995,208.570007,210.619995,39500
2017-09-26,210.179993,214.000000,208.789993,210.250000,42300
2017-09-27,211.110001,213.539993,208.009995,213.050003,47100
2017-09-28,213.100006,216.270004,210.869995,215.009995,46900
2017-09-29,215.690002,218.130005,213.669998,215.750000,31800
2017-10-02,216.919998,218.919998,215.490005,217.960007,30300
2017-10-03,219.009995,219.800003,217.119995,219.000000,38300
2017-10-04,219.449997,220.910004,217.770004,220.449997,20300
2017-10-05,221.600006,223.470001,220.119995,221.529999,49100
2017-10-06,221.130005,221.130005,217.899994,218.910004,33700
2017-10-09,219.500000,223.399994,218.910004,220.600006,40800
2017-10-10,221.479996,223.490005,219.960007,223.320007,36100
2017-10-11,223.369995,227.369995,223.369995,226.369995,40100
2017-10-12,226.369995,226.399994,224.660004,225.509995,27600
2017-10-13,225.990005,227.899994,225.300003,225.300003,28300
2017-10-16,224.850006,228.029999,224.850006,227.100006,30900
2017-10-17,227.000000,227.229996,222.789993,225.899994,38500
2017-10-18,226.000000,227.960007,222.500000,226.279999,20300
2017-10-19,226.300003,227.300003,223.809998,225.740005,26600
2017-10-20,227.470001,227.899994,224.169998,224.839996,19000
2017-10-23,225.410004,226.490005,224.009995,224.220001,32300
2017-10-24,225.309998,225.919998,221.820007,223.800003,29600
2017-10-25,223.399994,224.589996,220.899994,223.389999,22500
2017-10-26,222.949997,225.779999,222.649994,223.860001,22800
2017-10-27,224.949997,225.339996,221.970001,222.570007,28200
2017-10-30,222.160004,223.360001,220.250000,221.020004,22700
2017-10-31,222.320007,227.690002,221.570007,225.559998,31300
2017-11-01,226.250000,228.110001,224.059998,224.699997,34500
2017-11-02,225.130005,225.899994,223.360001,224.419998,19800
2017-11-03,225.199997,225.800003,222.330002,224.190002,21500
2017-11-06,223.559998,225.250000,223.000000,224.259995,31100
2017-11-07,224.119995,225.250000,221.360001,223.929993,38900
2017-11-08,220.300003,220.300003,182.259995,206.259995,360600
2017-11-09,204.559998,204.699997,198.000000,198.009995,80100
2017-11-10,197.479996,200.600006,194.339996,195.869995,61000
2017-11-13,195.869995,204.789993,195.869995,202.119995,57300
2017-11-14,202.250000,207.199997,202.250000,204.149994,78700
2017-11-15,201.839996,203.860001,198.910004,199.880005,59600
2017-11-16,200.110001,205.589996,200.110001,204.419998,59400
2017-11-17,202.830002,205.500000,202.229996,202.740005,37000
2017-11-20,202.860001,204.500000,200.000000,204.259995,63200
2017-11-21,204.259995,207.419998,203.139999,207.419998,47000
2017-11-22,206.639999,207.479996,203.990005,204.550003,40400
2017-11-24,204.080002,206.580002,202.500000,204.550003,17800
2017-11-27,203.850006,206.250000,203.139999,205.509995,47200
2017-11-28,205.149994,209.539993,203.850006,207.050003,78700
2017-11-29,209.130005,212.639999,207.500000,211.440002,67800
2017-11-30,212.160004,216.119995,211.500000,215.710007,59700
2017-12-01,215.020004,218.589996,212.399994,216.929993,50400
2017-12-04,218.300003,219.500000,212.100006,212.690002,52600
2017-12-05,212.309998,213.490005,210.380005,211.600006,37100
2017-12-06,211.339996,220.000000,211.339996,218.880005,35700
2017-12-07,218.970001,225.250000,213.350006,225.199997,70100
2017-12-08,226.910004,226.910004,220.289993,224.970001,67800
2017-12-11,225.009995,229.000000,222.100006,227.520004,73600
2017-12-12,227.410004,229.470001,222.009995,223.229996,71500
2017-12-13,223.199997,226.300003,218.179993,218.539993,66400
2017-12-14,219.699997,220.000000,216.000000,216.800003,62500
2017-12-15,217.309998,226.479996,216.080002,226.389999,169300
2017-12-18,227.910004,230.000000,223.250000,224.610001,41000
2017-12-19,224.850006,225.500000,221.270004,222.339996,51500
2017-12-20,221.070007,223.949997,220.910004,222.570007,30800
2017-12-21,223.050003,229.429993,222.070007,224.059998,79800
2017-12-22,225.300003,227.449997,221.570007,221.970001,30900
2017-12-26,222.000000,222.970001,217.639999,218.660004,68300
2017-12-27,218.089996,220.130005,216.809998,219.520004,76300
2017-12-28,219.559998,220.399994,216.820007,216.830002,40800
2017-12-29,218.160004,218.899994,215.000000,215.259995,38200
2018-01-02,214.000000,216.119995,210.210007,211.279999,64200
2018-01-03,211.000000,211.899994,208.000000,209.000000,42100
2018-01-04,209.000000,211.500000,205.009995,205.509995,56100
2018-01-05,206.000000,206.110001,200.509995,202.000000,53900
2018-01-08,202.000000,209.470001,200.750000,208.949997,59900
2018-01-09,209.000000,213.490005,205.149994,205.500000,65400
2018-01-10,205.080002,206.869995,201.830002,205.179993,45000
2018-01-11,206.580002,207.399994,202.990005,203.960007,63000
2018-01-12,204.020004,205.690002,200.009995,200.509995,51800
2018-01-16,202.059998,203.750000,200.009995,201.690002,55500
2018-01-17,202.149994,205.490005,200.940002,204.250000,44900
2018-01-18,204.100006,206.000000,202.000000,202.960007,53700
2018-01-19,203.119995,208.000000,203.119995,207.270004,59000
2018-01-22,207.509995,209.740005,204.009995,205.990005,53600
2018-01-23,206.600006,207.080002,205.119995,206.360001,43400
2018-01-24,207.080002,208.000000,204.000000,205.509995,61500
2018-01-25,205.889999,206.860001,202.720001,204.429993,56300
2018-01-26,204.949997,207.419998,203.369995,206.940002,62300
2018-01-29,205.910004,207.500000,201.779999,202.059998,63600
2018-01-30,201.279999,204.089996,201.080002,203.100006,32000
2018-01-31,203.000000,204.110001,201.000000,202.520004,42800
2018-02-01,201.779999,206.259995,201.350006,202.839996,80200
2018-02-02,201.509995,204.960007,198.029999,199.240005,93300
2018-02-05,198.429993,199.000000,185.779999,186.699997,65900
2018-02-06,182.089996,188.309998,180.389999,184.559998,69100
2018-02-07,185.029999,189.070007,184.000000,187.610001,40400
2018-02-08,187.610001,188.610001,182.580002,182.580002,56000
2018-02-09,184.479996,187.479996,178.490005,182.289993,52500
2018-02-12,184.110001,185.639999,180.479996,180.970001,63400
2018-02-13,181.100006,184.990005,180.000000,183.410004,58000
2018-02-14,182.710007,185.970001,182.710007,183.789993,36500
2018-02-15,185.029999,190.199997,185.000000,189.020004,31800
2018-02-16,191.110001,194.850006,188.889999,190.690002,42600
2018-02-20,190.440002,190.440002,185.000000,185.729996,35800
2018-02-21,185.949997,188.210007,183.089996,183.520004,46800
2018-02-22,183.750000,185.440002,182.009995,183.039993,44400
2018-02-23,183.350006,184.000000,181.500000,182.169998,36200
2018-02-26,182.830002,186.309998,182.830002,185.619995,52600
2018-02-27,185.460007,187.100006,182.199997,182.199997,61600
2018-02-28,187.190002,190.820007,183.470001,186.610001,59100
2018-03-01,187.169998,189.330002,182.059998,185.509995,42400
2018-03-02,184.809998,192.839996,183.270004,191.199997,73300
2018-03-05,189.160004,190.490005,185.949997,186.000000,45500
2018-03-06,185.860001,189.000000,184.460007,188.779999,59400
2018-03-07,185.529999,189.929993,184.190002,185.309998,48400
2018-03-08,185.990005,189.699997,185.309998,188.809998,32100
2018-03-09,189.330002,190.240005,185.160004,187.860001,47500
2018-03-12,187.820007,189.990005,186.139999,187.479996,30900
2018-03-13,187.889999,188.220001,186.000000,186.490005,35200
2018-03-14,186.710007,187.500000,183.449997,183.910004,44300
2018-03-15,183.899994,184.580002,179.119995,179.500000,53600
2018-03-16,179.839996,182.690002,179.009995,182.440002,75800
2018-03-19,182.000000,182.199997,178.210007,179.350006,45400
2018-03-20,179.500000,180.990005,177.009995,179.100006,26500
2018-03-21,178.779999,179.039993,176.500000,176.500000,22300
2018-03-22,175.449997,177.320007,174.500000,175.669998,47600
2018-03-23,175.419998,175.619995,168.539993,169.589996,27700
2018-03-26,171.710007,174.259995,170.800003,173.559998,44600
2018-03-27,174.100006,177.240005,171.820007,172.550003,30100
2018-03-28,172.940002,175.389999,171.699997,174.179993,18600
2018-03-29,175.240005,177.630005,172.649994,172.669998,82500
2018-04-02,172.639999,173.660004,168.759995,170.300003,51900
2018-04-03,171.320007,174.990005,169.979996,174.039993,35500
2018-04-04,172.000000,178.949997,171.830002,177.759995,55800
2018-04-05,179.100006,179.100006,175.779999,176.720001,52000
2018-04-06,175.250000,176.699997,172.809998,174.750000,31300
2018-04-09,175.690002,177.300003,174.550003,174.880005,34700
2018-04-10,176.130005,177.199997,173.360001,174.750000,45500
2018-04-11,173.809998,175.000000,172.279999,174.080002,37500
2018-04-12,174.110001,175.570007,172.000000,172.360001,22100
2018-04-13,173.000000,174.910004,171.300003,172.679993,26000
2018-04-16,173.699997,175.889999,173.289993,175.100006,20700
2018-04-17,175.820007,177.160004,171.380005,175.479996,47800
2018-04-18,175.500000,176.479996,173.979996,174.270004,67600
2018-04-19,174.110001,174.110001,169.339996,169.350006,38700
2018-04-20,169.270004,170.830002,168.460007,169.770004,58900
2018-04-23,170.070007,171.830002,160.000000,168.550003,35300
2018-04-24,169.279999,169.410004,166.270004,167.199997,23600
2018-04-25,167.440002,169.250000,164.580002,165.720001,30800
2018-04-26,165.899994,169.509995,165.899994,168.779999,26100
2018-04-27,169.070007,169.470001,166.119995,167.500000,49400
2018-04-30,168.130005,169.330002,167.000000,168.389999,30600
